institution_code,group_code,group_name,group_type,required_credits,required_course_count,source
BMCC,RC_ENGLISH_COMPOSITION,English Composition,common_core,6,,https://www.bmcc.cuny.edu/academics/pathways/english-composition/
BMCC,RC_MATH_QUANT,Mathematical and Quantitative Reasoning,common_core,3,1,https://www.bmcc.cuny.edu/academics/pathways/mathematical-and-quantitative-reasoning/
BMCC,RC_LIFE_PHYSICAL,Life and Physical Sciences,common_core,3,1,https://www.bmcc.cuny.edu/academics/pathways/life-and-physical-sciences/
BMCC,FC_CREATIVE,Creative Expression,flexible_core,3,1,https://www.bmcc.cuny.edu/academics/pathways/creative-expression/
BMCC,FC_INDIVIDUAL,Individual and Society,flexible_core,3,1,https://www.bmcc.cuny.edu/academics/pathways/individual-and-society/
BMCC,FC_SCIENTIFIC_WORLD,Scientific World,flexible_core,3,1,https://www.bmcc.cuny.edu/academics/pathways/scientific-world/
BMCC,FC_US_EXPERIENCE,U.S. Experience in Its Diversity,flexible_core,3,1,https://www.bmcc.cuny.edu/academics/pathways/u-s-experience-in-its-diversity/
BMCC,FC_WORLD_CULTURES,World Cultures and Global Issues,flexible_core,3,1,https://www.bmcc.cuny.edu/academics/pathways/world-cultures-and-global-issues/
BMCC,BMCC_LIBERAL_ARTS_ELECTIVE,Liberal Arts Electives,program_elective,,,https://www.bmcc.cuny.edu/academics/programs/liberal-arts/
BMCC,BMCC_GENERAL_ELECTIVE,General Electives,program_elective,,,https://www.bmcc.cuny.edu/academics/programs/liberal-arts/
BMCC,BMCC_MODERN_LANGUAGE_CONTINUATION,Modern Language Continuation Courses,program_elective,,,https://www.bmcc.cuny.edu/academics/departments/modern-languages/course-listings/
BMCC,FC_AAS_OPEN_AREA,AAS Flexible Core - CE IS US or WCGI,flexible_core,3,1,https://www.bmcc.cuny.edu/academics/pathways/
CCNY,CCNY_FC_CREATIVE,Creative Expression,flexible_core,3,1,https://www.ccny.cuny.edu/sites/default/files/2026-03/CCNY%20Pathways%20Common%20Core%20Courses%20fall%202026.pdf
CCNY,CCNY_FC_WORLD_CULTURES,World Cultures and Global Issues,flexible_core,3,1,https://www.ccny.cuny.edu/sites/default/files/2026-03/CCNY%20Pathways%20Common%20Core%20Courses%20fall%202026.pdf
CCNY,CCNY_FC_INDIVIDUAL,Individual and Society,flexible_core,3,1,https://www.ccny.cuny.edu/sites/default/files/2026-03/CCNY%20Pathways%20Common%20Core%20Courses%20fall%202026.pdf
CCNY,CCNY_FC_US_EXPERIENCE,U.S. Experience in Its Diversity,flexible_core,3,1,https://www.ccny.cuny.edu/sites/default/files/2026-03/CCNY%20Pathways%20Common%20Core%20Courses%20fall%202026.pdf
CCNY,CCNY_TECHNICAL_ELECTIVE,Approved Grove Technical Electives,program_elective,,,https://www.ccny.cuny.edu/sites/default/files/2024-03/csc-curric-2023-2024--2023-07-06.pdf
CCNY,CCNY_FREE_ELECTIVE,Approved Free Electives,program_elective,,,https://www.ccny.cuny.edu/sites/default/files/2024-03/csc-curric-2023-2024--2023-07-06.pdf
JOHNJAY,JJAY_RC_MATH_QUANT,Mathematical and Quantitative Reasoning,common_core,3,1,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/general-education/
JOHNJAY,JJAY_RC_LIFE_PHYSICAL,Life and Physical Sciences,common_core,3,1,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/general-education/
JOHNJAY,JJAY_FC_WORLD_CULTURES,World Cultures and Global Issues,flexible_core,3,1,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/general-education/
JOHNJAY,JJAY_FC_US_EXPERIENCE,U.S. Experience in Its Diversity,flexible_core,3,1,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/general-education/
JOHNJAY,JJAY_FC_CREATIVE,Creative Expression,flexible_core,3,1,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/general-education/
JOHNJAY,JJAY_FC_INDIVIDUAL,Individual and Society,flexible_core,3,1,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/general-education/
JOHNJAY,JJAY_FC_SCIENTIFIC_WORLD,Scientific World,flexible_core,3,1,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/general-education/
JOHNJAY,JJAY_FC_ADDITIONAL,Additional Flexible Core,flexible_core,3,1,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/general-education/
JOHNJAY,JJAY_COLLEGE_JUSTICE_100,Justice Core I: 100-level,college_option,3,1,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/general-education/
JOHNJAY,JJAY_COLLEGE_JUSTICE_200,Justice Core: 200-level,college_option,3,1,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/general-education/
JOHNJAY,JJAY_COLLEGE_JUSTICE_300,Justice Core II: 300-level,college_option,3,1,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/general-education/
JOHNJAY,JJAY_COLLEGE_LEARNING_PAST,Learning from the Past,college_option,3,1,https://jjay.smartcatalogiq.com/en/2024-2025/undergraduate-bulletin/general-education/
